GPT_Answer_ID|Prompt_ID_Nummer|Prompt_Category|Prompt_Level|Prompt_Language|Prompt_GPT_Model|Prompt_Temperature|Prompt_Run|Actual_Result_RowCount|Desired_Result_RowCount|Actual_Result_ColumnCount|Desired_Result_ColumnCount|EvaluationStatus_1|EvaluationStatus_2|ErrorMessage|ExceptionMessage|Comment
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.2_Response_1|10|CT|Medium|EN|GPT35Turbo|"0.2"|1|672|672|13|12|Failed|Semantic Error|||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.2_Response_10|10|CT|Medium|EN|GPT35Turbo|"0.2"|10|672|672|13|12|Failed|Semantic Error|||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.2_Response_2|10|CT|Medium|EN|GPT35Turbo|"0.2"|2|||||Failed|Syntax Error|Query (1, 584) Zu wenige Argumente wurden an die EOMONTH-Funktion übergeben. Die Funktion erfordert mindestens 2 Argumente.||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.2_Response_3|10|CT|Medium|EN|GPT35Turbo|"0.2"|3|672|672|13|12|Failed|Semantic Error|||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.2_Response_4|10|CT|Medium|EN|GPT35Turbo|"0.2"|4|672|672|13|12|Failed|Semantic Error|||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.2_Response_5|10|CT|Medium|EN|GPT35Turbo|"0.2"|5|672|672|13|12|Failed|Semantic Error|||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.2_Response_6|10|CT|Medium|EN|GPT35Turbo|"0.2"|6|672|672|13|12|Failed|Semantic Error|||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.2_Response_7|10|CT|Medium|EN|GPT35Turbo|"0.2"|7|672|672|13|12|Failed|Semantic Error|||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.2_Response_8|10|CT|Medium|EN|GPT35Turbo|"0.2"|8|||||Failed|Syntax Error|Query (1, 628) Zu wenige Argumente wurden an die EOMONTH-Funktion übergeben. Die Funktion erfordert mindestens 2 Argumente.||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.2_Response_9|10|CT|Medium|EN|GPT35Turbo|"0.2"|9|||||Failed|Syntax Error|Query (1, 587) Zu wenige Argumente wurden an die EOMONTH-Funktion übergeben. Die Funktion erfordert mindestens 2 Argumente.||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.4_Response_1|10|CT|Medium|EN|GPT35Turbo|"0.4"|1|||||Failed|Syntax Error|Query (1, 625) Zu wenige Argumente wurden an die EOMONTH-Funktion übergeben. Die Funktion erfordert mindestens 2 Argumente.||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.4_Response_10|10|CT|Medium|EN|GPT35Turbo|"0.4"|10|672|672|13|12|Failed|Semantic Error|||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.4_Response_2|10|CT|Medium|EN|GPT35Turbo|"0.4"|2|||||Failed|Syntax Error|Query (1, 599) Zu wenige Argumente wurden an die EOMONTH-Funktion übergeben. Die Funktion erfordert mindestens 2 Argumente.||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.4_Response_3|10|CT|Medium|EN|GPT35Turbo|"0.4"|3|||||Failed|Syntax Error|Query (1, 600) Zu wenige Argumente wurden an die EOMONTH-Funktion übergeben. Die Funktion erfordert mindestens 2 Argumente.||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.4_Response_4|10|CT|Medium|EN|GPT35Turbo|"0.4"|4|672|672|13|12|Failed|Semantic Error|||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.4_Response_5|10|CT|Medium|EN|GPT35Turbo|"0.4"|5|672|672|13|12|Failed|Semantic Error|||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.4_Response_6|10|CT|Medium|EN|GPT35Turbo|"0.4"|6|||||Failed|Syntax Error|Query (1, 587) Zu wenige Argumente wurden an die EOMONTH-Funktion übergeben. Die Funktion erfordert mindestens 2 Argumente.||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.4_Response_7|10|CT|Medium|EN|GPT35Turbo|"0.4"|7|672|672|13|12|Failed|Semantic Error|||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.4_Response_8|10|CT|Medium|EN|GPT35Turbo|"0.4"|8|||||Failed|Syntax Error|Query (1, 658) Zu wenige Argumente wurden an die EOMONTH-Funktion übergeben. Die Funktion erfordert mindestens 2 Argumente.||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.4_Response_9|10|CT|Medium|EN|GPT35Turbo|"0.4"|9|672|672|13|12|Failed|Semantic Error|||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.6_Response_1|10|CT|Medium|EN|GPT35Turbo|"0.6"|1|672|672|13|12|Failed|Semantic Error|||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.6_Response_10|10|CT|Medium|EN|GPT35Turbo|"0.6"|10|||||Failed|Syntax Error|Query (1, 661) Die Spalte "Date" wurde nicht gefunden oder darf in diesem Ausdruck möglicherweise nicht verwendet werden.||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.6_Response_2|10|CT|Medium|EN|GPT35Turbo|"0.6"|2|672|672|13|12|Failed|Semantic Error|||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.6_Response_3|10|CT|Medium|EN|GPT35Turbo|"0.6"|3|672|672|13|12|Failed|Semantic Error|||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.6_Response_4|10|CT|Medium|EN|GPT35Turbo|"0.6"|4|672|672|13|12|Failed|Semantic Error|||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.6_Response_5|10|CT|Medium|EN|GPT35Turbo|"0.6"|5|||||Failed|Syntax Error|Query (1, 766) Zu wenige Argumente wurden an die EOMONTH-Funktion übergeben. Die Funktion erfordert mindestens 2 Argumente.||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.6_Response_6|10|CT|Medium|EN|GPT35Turbo|"0.6"|6|||||Failed|Syntax Error|Query (1, 615) Zu wenige Argumente wurden an die EOMONTH-Funktion übergeben. Die Funktion erfordert mindestens 2 Argumente.||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.6_Response_7|10|CT|Medium|EN|GPT35Turbo|"0.6"|7|||||Failed|Syntax Error|Query (1, 615) Zu wenige Argumente wurden an die EOMONTH-Funktion übergeben. Die Funktion erfordert mindestens 2 Argumente.||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.6_Response_8|10|CT|Medium|EN|GPT35Turbo|"0.6"|8|672|672|13|12|Failed|Semantic Error|||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.6_Response_9|10|CT|Medium|EN|GPT35Turbo|"0.6"|9|672|672|13|12|Failed|Semantic Error|||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.8_Response_1|10|CT|Medium|EN|GPT35Turbo|"0.8"|1|||||Failed|Syntax Error|Query (1, 615) Zu wenige Argumente wurden an die EOMONTH-Funktion übergeben. Die Funktion erfordert mindestens 2 Argumente.||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.8_Response_10|10|CT|Medium|EN|GPT35Turbo|"0.8"|10|||||Failed|Syntax Error|Query (1, 607) Zu wenige Argumente wurden an die EOMONTH-Funktion übergeben. Die Funktion erfordert mindestens 2 Argumente.||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.8_Response_2|10|CT|Medium|EN|GPT35Turbo|"0.8"|2|||||Failed|Syntax Error|Query (1, 679) Zu wenige Argumente wurden an die EOMONTH-Funktion übergeben. Die Funktion erfordert mindestens 2 Argumente.||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.8_Response_3|10|CT|Medium|EN|GPT35Turbo|"0.8"|3|||||Failed|Syntax Error|Query (1, 654) Zu wenige Argumente wurden an die EOMONTH-Funktion übergeben. Die Funktion erfordert mindestens 2 Argumente.||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.8_Response_4|10|CT|Medium|EN|GPT35Turbo|"0.8"|4|||||Failed|Syntax Error|Query (1, 610) Zu wenige Argumente wurden an die EOMONTH-Funktion übergeben. Die Funktion erfordert mindestens 2 Argumente.||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.8_Response_5|10|CT|Medium|EN|GPT35Turbo|"0.8"|5|672|672|13|12|Failed|Semantic Error|||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.8_Response_6|10|CT|Medium|EN|GPT35Turbo|"0.8"|6|||||Failed|Syntax Error|Query (1, 633) Die Spalte "Date" wurde nicht gefunden oder darf in diesem Ausdruck möglicherweise nicht verwendet werden.||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.8_Response_7|10|CT|Medium|EN|GPT35Turbo|"0.8"|7|672|672|13|12|Failed|Semantic Error|||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.8_Response_8|10|CT|Medium|EN|GPT35Turbo|"0.8"|8|672|672|13|12|Failed|Semantic Error|||
Prompt_10_CT_Medium_EN_GPT35Turbo_Temp_0.8_Response_9|10|CT|Medium|EN|GPT35Turbo|"0.8"|9|672|672|13|12|Failed|Semantic Error|||
Prompt_11_CT_Hard_EN_GPT35Turbo_Temp_0.2_Response_1|11|CT|Hard|EN|GPT35Turbo|"0.2"|1|68|68|3|3|Successful|Successful|||
Prompt_11_CT_Hard_EN_GPT35Turbo_Temp_0.2_Response_10|11|CT|Hard|EN|GPT35Turbo|"0.2"|10|68|68|3|3|Successful|Successful|||
Prompt_11_CT_Hard_EN_GPT35Turbo_Temp_0.2_Response_2|11|CT|Hard|EN|GPT35Turbo|"0.2"|2|68|68|3|3|Successful|Successful|||
Prompt_11_CT_Hard_EN_GPT35Turbo_Temp_0.2_Response_3|11|CT|Hard|EN|GPT35Turbo|"0.2"|3|68|68|3|3|Successful|Successful|||
Prompt_11_CT_Hard_EN_GPT35Turbo_Temp_0.2_Response_4|11|CT|Hard|EN|GPT35Turbo|"0.2"|4|68|68|3|3|Successful|Successful|||
Prompt_11_CT_Hard_EN_GPT35Turbo_Temp_0.2_Response_5|11|CT|Hard|EN|GPT35Turbo|"0.2"|5|68|68|3|3|Successful|Successful|||
Prompt_11_CT_Hard_EN_GPT35Turbo_Temp_0.2_Response_6|11|CT|Hard|EN|GPT35Turbo|"0.2"|6|68|68|3|3|Successful|Successful|||
Prompt_11_CT_Hard_EN_GPT35Turbo_Temp_0.2_Response_7|11|CT|Hard|EN|GPT35Turbo|"0.2"|7|68|68|3|3|Successful|Successful|||
Prompt_11_CT_Hard_EN_GPT35Turbo_Temp_0.2_Response_8|11|CT|Hard|EN|GPT35Turbo|"0.2"|8|68|68|3|3|Successful|Successful|||
Prompt_11_CT_Hard_EN_GPT35Turbo_Temp_0.2_Response_9|11|CT|Hard|EN|GPT35Turbo|"0.2"|9|68|68|3|3|Successful|Successful|||
Prompt_11_CT_Hard_EN_GPT35Turbo_Temp_0.4_Response_1|11|CT|Hard|EN|GPT35Turbo|"0.4"|1|68|68|3|3|Successful|Successful|||
Prompt_11_CT_Hard_EN_GPT35Turbo_Temp_0.4_Response_10|11|CT|Hard|EN|GPT35Turbo|"0.4"|10|||||Failed|Syntax Error|Query (1, 382) Der Ausdruck enthält Spalten aus mehreren Tabellen, aber es können nur Spalten aus einer einzelnen Tabelle in einem True/False-Ausdruck verwendet werden, der als Tabellenfilterausdruck dient.||
Prompt_11_CT_Hard_EN_GPT35Turbo_Temp_0.4_Response_2|11|CT|Hard|EN|GPT35Turbo|"0.4"|2|68|68|3|3|Successful|Successful|||
Prompt_11_CT_Hard_EN_GPT35Turbo_Temp_0.4_Response_3|11|CT|Hard|EN|GPT35Turbo|"0.4"|3|68|68|3|3|Successful|Successful|||
Prompt_11_CT_Hard_EN_GPT35Turbo_Temp_0.4_Response_4|11|CT|Hard|EN|GPT35Turbo|"0.4"|4|68|68|3|3|Successful|Successful|||
Prompt_11_CT_Hard_EN_GPT35Turbo_Temp_0.4_Response_5|11|CT|Hard|EN|GPT35Turbo|"0.4"|5|68|68|3|3|Successful|Successful|||
Prompt_11_CT_Hard_EN_GPT35Turbo_Temp_0.4_Response_6|11|CT|Hard|EN|GPT35Turbo|"0.4"|6|68|68|3|3|Successful|Successful|||
Prompt_11_CT_Hard_EN_GPT35Turbo_Temp_0.4_Response_7|11|CT|Hard|EN|GPT35Turbo|"0.4"|7|||||Failed|Syntax Error|Query (1, 60) Die Spalte [YearMonthID] kann von der Funktion "ADDCOLUMNS" nicht hinzugefügt werden, weil sie bereits vorhanden ist.||
