GPT_Answer_ID|Prompt_ID_Nummer|Prompt_Category|Prompt_Level|Prompt_Language|Prompt_GPT_Model|Prompt_Temperature|Prompt_Run|Actual_Result|Desired_Result|EvaluationStatus_1|EvaluationStatus_2|ErrorMessage|ExceptionMessage|Comment
Prompt_16_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_1|16|CC|Low|EN|GPT4Turbo|"0.4"|1|4|4|Successful|Successful|||
Prompt_16_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_10|16|CC|Low|EN|GPT4Turbo|"0.4"|10|4|4|Successful|Successful|||
Prompt_16_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_2|16|CC|Low|EN|GPT4Turbo|"0.4"|2|4|4|Successful|Successful|||
Prompt_16_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_3|16|CC|Low|EN|GPT4Turbo|"0.4"|3|4|4|Successful|Successful|||
Prompt_16_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_4|16|CC|Low|EN|GPT4Turbo|"0.4"|4|4|4|Successful|Successful|||
Prompt_16_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_5|16|CC|Low|EN|GPT4Turbo|"0.4"|5|4|4|Successful|Successful|||
Prompt_16_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_6|16|CC|Low|EN|GPT4Turbo|"0.4"|6|4|4|Successful|Successful|||
Prompt_16_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_7|16|CC|Low|EN|GPT4Turbo|"0.4"|7|4|4|Successful|Successful|||
Prompt_16_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_8|16|CC|Low|EN|GPT4Turbo|"0.4"|8|4|4|Successful|Successful|||
Prompt_16_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_9|16|CC|Low|EN|GPT4Turbo|"0.4"|9|4|4|Successful|Successful|||
Prompt_17_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_1|17|CC|Low|EN|GPT4Turbo|"0.4"|1|76|76|Successful|Successful|||
Prompt_17_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_10|17|CC|Low|EN|GPT4Turbo|"0.4"|10|76|76|Successful|Successful|||
Prompt_17_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_2|17|CC|Low|EN|GPT4Turbo|"0.4"|2|76|76|Successful|Successful|||
Prompt_17_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_3|17|CC|Low|EN|GPT4Turbo|"0.4"|3|76|76|Successful|Successful|||
Prompt_17_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_4|17|CC|Low|EN|GPT4Turbo|"0.4"|4|76|76|Successful|Successful|||
Prompt_17_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_5|17|CC|Low|EN|GPT4Turbo|"0.4"|5|76|76|Successful|Successful|||
Prompt_17_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_6|17|CC|Low|EN|GPT4Turbo|"0.4"|6|76|76|Successful|Successful|||
Prompt_17_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_7|17|CC|Low|EN|GPT4Turbo|"0.4"|7|76|76|Successful|Successful|||
Prompt_17_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_8|17|CC|Low|EN|GPT4Turbo|"0.4"|8|76|76|Successful|Successful|||
Prompt_17_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_9|17|CC|Low|EN|GPT4Turbo|"0.4"|9|76|76|Successful|Successful|||
Prompt_18_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_1|18|CC|Low|EN|GPT4Turbo|"0.4"|1|Davolio, Nancy|Davolio, Nancy|Successful|Successful|||
Prompt_18_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_10|18|CC|Low|EN|GPT4Turbo|"0.4"|10|Davolio, Nancy|Davolio, Nancy|Successful|Successful|||
Prompt_18_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_2|18|CC|Low|EN|GPT4Turbo|"0.4"|2|Davolio, Nancy|Davolio, Nancy|Successful|Successful|||
Prompt_18_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_3|18|CC|Low|EN|GPT4Turbo|"0.4"|3|Davolio, Nancy|Davolio, Nancy|Successful|Successful|||
Prompt_18_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_4|18|CC|Low|EN|GPT4Turbo|"0.4"|4|Davolio, Nancy|Davolio, Nancy|Successful|Successful|||
Prompt_18_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_5|18|CC|Low|EN|GPT4Turbo|"0.4"|5|Davolio, Nancy|Davolio, Nancy|Successful|Successful|||
Prompt_18_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_6|18|CC|Low|EN|GPT4Turbo|"0.4"|6|Davolio, Nancy|Davolio, Nancy|Successful|Successful|||
Prompt_18_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_7|18|CC|Low|EN|GPT4Turbo|"0.4"|7|Davolio, Nancy|Davolio, Nancy|Successful|Successful|||
Prompt_18_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_8|18|CC|Low|EN|GPT4Turbo|"0.4"|8|Davolio, Nancy|Davolio, Nancy|Successful|Successful|||
Prompt_18_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_9|18|CC|Low|EN|GPT4Turbo|"0.4"|9|Davolio, Nancy|Davolio, Nancy|Successful|Successful|||
Prompt_19_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_1|19|CC|Low|EN|GPT4Turbo|"0.4"|1|11580|11580|Successful|Successful|||
Prompt_19_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_10|19|CC|Low|EN|GPT4Turbo|"0.4"|10|11580|11580|Successful|Successful|||
Prompt_19_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_2|19|CC|Low|EN|GPT4Turbo|"0.4"|2|11580|11580|Successful|Successful|||
Prompt_19_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_3|19|CC|Low|EN|GPT4Turbo|"0.4"|3|11580|11580|Successful|Successful|||
Prompt_19_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_4|19|CC|Low|EN|GPT4Turbo|"0.4"|4|11580|11580|Successful|Successful|||
Prompt_19_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_5|19|CC|Low|EN|GPT4Turbo|"0.4"|5|11580|11580|Successful|Successful|||
Prompt_19_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_6|19|CC|Low|EN|GPT4Turbo|"0.4"|6|11580|11580|Successful|Successful|||
Prompt_19_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_7|19|CC|Low|EN|GPT4Turbo|"0.4"|7|11580|11580|Successful|Successful|||
Prompt_19_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_8|19|CC|Low|EN|GPT4Turbo|"0.4"|8|11580|11580|Successful|Successful|||
Prompt_19_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_9|19|CC|Low|EN|GPT4Turbo|"0.4"|9|11580|11580|Successful|Successful|||
Prompt_20_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_1|20|CC|Low|EN|GPT4Turbo|"0.4"|1|5|5|Successful|Successful|||
Prompt_20_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_10|20|CC|Low|EN|GPT4Turbo|"0.4"|10|5|5|Successful|Successful|||
Prompt_20_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_2|20|CC|Low|EN|GPT4Turbo|"0.4"|2|5|5|Successful|Successful|||
Prompt_20_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_3|20|CC|Low|EN|GPT4Turbo|"0.4"|3|5|5|Successful|Successful|||
Prompt_20_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_4|20|CC|Low|EN|GPT4Turbo|"0.4"|4|5|5|Successful|Successful|||
Prompt_20_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_5|20|CC|Low|EN|GPT4Turbo|"0.4"|5|5|5|Successful|Successful|||
Prompt_20_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_6|20|CC|Low|EN|GPT4Turbo|"0.4"|6|5|5|Successful|Successful|||
Prompt_20_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_7|20|CC|Low|EN|GPT4Turbo|"0.4"|7|5|5|Successful|Successful|||
Prompt_20_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_8|20|CC|Low|EN|GPT4Turbo|"0.4"|8|5|5|Successful|Successful|||
Prompt_20_CC_Low_EN_GPT4Turbo_Temp_0.4_Response_9|20|CC|Low|EN|GPT4Turbo|"0.4"|9|5|5|Successful|Successful|||
