GPT_Answer_ID|Prompt_ID_Nummer|Prompt_Category|Prompt_Level|Prompt_Language|Prompt_GPT_Model|Prompt_Temperature|Prompt_Run|Actual_Result|Desired_Result|EvaluationStatus_1|EvaluationStatus_2|ErrorMessage|ExceptionMessage|Comment
Prompt_31_M_Low_EN_GPT4Turbo_Temp_0.6_Response_1|31|M|Low|EN|GPT4Turbo|"0.6"|1|391|391|Successful|Successful|||
Prompt_31_M_Low_EN_GPT4Turbo_Temp_0.6_Response_10|31|M|Low|EN|GPT4Turbo|"0.6"|10|391|391|Successful|Successful|||
Prompt_31_M_Low_EN_GPT4Turbo_Temp_0.6_Response_2|31|M|Low|EN|GPT4Turbo|"0.6"|2|391|391|Successful|Successful|||
Prompt_31_M_Low_EN_GPT4Turbo_Temp_0.6_Response_3|31|M|Low|EN|GPT4Turbo|"0.6"|3|391|391|Successful|Successful|||
Prompt_31_M_Low_EN_GPT4Turbo_Temp_0.6_Response_4|31|M|Low|EN|GPT4Turbo|"0.6"|4|391|391|Successful|Successful|||
Prompt_31_M_Low_EN_GPT4Turbo_Temp_0.6_Response_5|31|M|Low|EN|GPT4Turbo|"0.6"|5|391|391|Successful|Successful|||
Prompt_31_M_Low_EN_GPT4Turbo_Temp_0.6_Response_6|31|M|Low|EN|GPT4Turbo|"0.6"|6|391|391|Successful|Successful|||
Prompt_31_M_Low_EN_GPT4Turbo_Temp_0.6_Response_7|31|M|Low|EN|GPT4Turbo|"0.6"|7|391|391|Successful|Successful|||
Prompt_31_M_Low_EN_GPT4Turbo_Temp_0.6_Response_8|31|M|Low|EN|GPT4Turbo|"0.6"|8|391|391|Successful|Successful|||
Prompt_31_M_Low_EN_GPT4Turbo_Temp_0.6_Response_9|31|M|Low|EN|GPT4Turbo|"0.6"|9|391|391|Successful|Successful|||
Prompt_32_M_Low_EN_GPT4Turbo_Temp_0.6_Response_1|32|M|Low|EN|GPT4Turbo|"0.6"|1|16185,33|16185,33|Successful|Successful|||
Prompt_32_M_Low_EN_GPT4Turbo_Temp_0.6_Response_10|32|M|Low|EN|GPT4Turbo|"0.6"|10|16185,33|16185,33|Successful|Successful|||
Prompt_32_M_Low_EN_GPT4Turbo_Temp_0.6_Response_2|32|M|Low|EN|GPT4Turbo|"0.6"|2|16185,33|16185,33|Successful|Successful|||
Prompt_32_M_Low_EN_GPT4Turbo_Temp_0.6_Response_3|32|M|Low|EN|GPT4Turbo|"0.6"|3|16185,33|16185,33|Successful|Successful|||
Prompt_32_M_Low_EN_GPT4Turbo_Temp_0.6_Response_4|32|M|Low|EN|GPT4Turbo|"0.6"|4|16185,33|16185,33|Successful|Successful|||
Prompt_32_M_Low_EN_GPT4Turbo_Temp_0.6_Response_5|32|M|Low|EN|GPT4Turbo|"0.6"|5|16185,33|16185,33|Successful|Successful|||
Prompt_32_M_Low_EN_GPT4Turbo_Temp_0.6_Response_6|32|M|Low|EN|GPT4Turbo|"0.6"|6|16185,33|16185,33|Successful|Successful|||
Prompt_32_M_Low_EN_GPT4Turbo_Temp_0.6_Response_7|32|M|Low|EN|GPT4Turbo|"0.6"|7|16185,33|16185,33|Successful|Successful|||
Prompt_32_M_Low_EN_GPT4Turbo_Temp_0.6_Response_8|32|M|Low|EN|GPT4Turbo|"0.6"|8|16185,33|16185,33|Successful|Successful|||
Prompt_32_M_Low_EN_GPT4Turbo_Temp_0.6_Response_9|32|M|Low|EN|GPT4Turbo|"0.6"|9|16185,33|16185,33|Successful|Successful|||
Prompt_33_M_Low_EN_GPT4Turbo_Temp_0.6_Response_1|33|M|Low|EN|GPT4Turbo|"0.6"|1|13|13|Successful|Successful|||
Prompt_33_M_Low_EN_GPT4Turbo_Temp_0.6_Response_10|33|M|Low|EN|GPT4Turbo|"0.6"|10|13|13|Successful|Successful|||
Prompt_33_M_Low_EN_GPT4Turbo_Temp_0.6_Response_2|33|M|Low|EN|GPT4Turbo|"0.6"|2|13|13|Successful|Successful|||
Prompt_33_M_Low_EN_GPT4Turbo_Temp_0.6_Response_3|33|M|Low|EN|GPT4Turbo|"0.6"|3|13|13|Successful|Successful|||
Prompt_33_M_Low_EN_GPT4Turbo_Temp_0.6_Response_4|33|M|Low|EN|GPT4Turbo|"0.6"|4|13|13|Successful|Successful|||
Prompt_33_M_Low_EN_GPT4Turbo_Temp_0.6_Response_5|33|M|Low|EN|GPT4Turbo|"0.6"|5|13|13|Successful|Successful|||
Prompt_33_M_Low_EN_GPT4Turbo_Temp_0.6_Response_6|33|M|Low|EN|GPT4Turbo|"0.6"|6|13|13|Successful|Successful|||
Prompt_33_M_Low_EN_GPT4Turbo_Temp_0.6_Response_7|33|M|Low|EN|GPT4Turbo|"0.6"|7|13|13|Successful|Successful|||
