GPT_Answer_ID|Prompt_ID_Nummer|Prompt_Category|Prompt_Level|Prompt_Language|Prompt_GPT_Model|Prompt_Temperature|Prompt_Run|Actual_Result|Desired_Result|EvaluationStatus_1|EvaluationStatus_2|ErrorMessage|ExceptionMessage|Comment
Prompt_31_M_Low_EN_GPT35Turbo_Temp_0.2_Response_1|31|M|Low|EN|GPT35Turbo|"0.2"|1|391|391|Successful|Successful|||
Prompt_31_M_Low_EN_GPT35Turbo_Temp_0.2_Response_10|31|M|Low|EN|GPT35Turbo|"0.2"|10|391|391|Successful|Successful|||
Prompt_31_M_Low_EN_GPT35Turbo_Temp_0.2_Response_2|31|M|Low|EN|GPT35Turbo|"0.2"|2|391|391|Successful|Successful|||
Prompt_31_M_Low_EN_GPT35Turbo_Temp_0.2_Response_3|31|M|Low|EN|GPT35Turbo|"0.2"|3|391|391|Successful|Successful|||
Prompt_31_M_Low_EN_GPT35Turbo_Temp_0.2_Response_4|31|M|Low|EN|GPT35Turbo|"0.2"|4|391|391|Successful|Successful|||
Prompt_31_M_Low_EN_GPT35Turbo_Temp_0.2_Response_5|31|M|Low|EN|GPT35Turbo|"0.2"|5|391|391|Successful|Successful|||
Prompt_31_M_Low_EN_GPT35Turbo_Temp_0.2_Response_6|31|M|Low|EN|GPT35Turbo|"0.2"|6|391|391|Successful|Successful|||
Prompt_31_M_Low_EN_GPT35Turbo_Temp_0.2_Response_7|31|M|Low|EN|GPT35Turbo|"0.2"|7|391|391|Successful|Successful|||
Prompt_31_M_Low_EN_GPT35Turbo_Temp_0.2_Response_8|31|M|Low|EN|GPT35Turbo|"0.2"|8|391|391|Successful|Successful|||
Prompt_31_M_Low_EN_GPT35Turbo_Temp_0.2_Response_9|31|M|Low|EN|GPT35Turbo|"0.2"|9|391|391|Successful|Successful|||
Prompt_31_M_Low_EN_GPT35Turbo_Temp_0.4_Response_1|31|M|Low|EN|GPT35Turbo|"0.4"|1|391|391|Successful|Successful|||
Prompt_31_M_Low_EN_GPT35Turbo_Temp_0.4_Response_10|31|M|Low|EN|GPT35Turbo|"0.4"|10|391|391|Successful|Successful|||
Prompt_31_M_Low_EN_GPT35Turbo_Temp_0.4_Response_2|31|M|Low|EN|GPT35Turbo|"0.4"|2|391|391|Successful|Successful|||
Prompt_31_M_Low_EN_GPT35Turbo_Temp_0.4_Response_3|31|M|Low|EN|GPT35Turbo|"0.4"|3|391|391|Successful|Successful|||
Prompt_31_M_Low_EN_GPT35Turbo_Temp_0.4_Response_4|31|M|Low|EN|GPT35Turbo|"0.4"|4|391|391|Successful|Successful|||
Prompt_31_M_Low_EN_GPT35Turbo_Temp_0.4_Response_5|31|M|Low|EN|GPT35Turbo|"0.4"|5|391|391|Successful|Successful|||
Prompt_31_M_Low_EN_GPT35Turbo_Temp_0.4_Response_6|31|M|Low|EN|GPT35Turbo|"0.4"|6|391|391|Successful|Successful|||
Prompt_31_M_Low_EN_GPT35Turbo_Temp_0.4_Response_7|31|M|Low|EN|GPT35Turbo|"0.4"|7|391|391|Successful|Successful|||
Prompt_31_M_Low_EN_GPT35Turbo_Temp_0.4_Response_8|31|M|Low|EN|GPT35Turbo|"0.4"|8|391|391|Successful|Successful|||
