GPT_Answer_ID|Prompt_ID_Nummer|Prompt_Category|Prompt_Level|Prompt_Language|Prompt_GPT_Model|Prompt_Temperature|Prompt_Run|Actual_Result_RowCount|Desired_Result_RowCount|Actual_Result_ColumnCount|Desired_Result_ColumnCount|EvaluationStatus_1|EvaluationStatus_2|ErrorMessage|ExceptionMessage|Comment
Prompt_10_CT_Medium_DE_GPT35Turbo_Temp_0.2_Response_1|10|CT|Medium|DE|GPT35Turbo|"0.2"|1|||||Failed|Syntax Error|Query (1, 716) Zu wenige Argumente wurden an die EOMONTH-Funktion übergeben. Die Funktion erfordert mindestens 2 Argumente.||
Prompt_10_CT_Medium_DE_GPT35Turbo_Temp_0.2_Response_10|10|CT|Medium|DE|GPT35Turbo|"0.2"|10|||||Failed|Syntax Error|Query (1, 613) Zu wenige Argumente wurden an die EOMONTH-Funktion übergeben. Die Funktion erfordert mindestens 2 Argumente.||
Prompt_10_CT_Medium_DE_GPT35Turbo_Temp_0.2_Response_2|10|CT|Medium|DE|GPT35Turbo|"0.2"|2|||||Failed|Syntax Error|Query (1, 589) Zu wenige Argumente wurden an die EOMONTH-Funktion übergeben. Die Funktion erfordert mindestens 2 Argumente.||
Prompt_10_CT_Medium_DE_GPT35Turbo_Temp_0.2_Response_3|10|CT|Medium|DE|GPT35Turbo|"0.2"|3|||||Failed|Syntax Error|Query (1, 627) Zu wenige Argumente wurden an die EOMONTH-Funktion übergeben. Die Funktion erfordert mindestens 2 Argumente.||
Prompt_10_CT_Medium_DE_GPT35Turbo_Temp_0.2_Response_4|10|CT|Medium|DE|GPT35Turbo|"0.2"|4|||||Failed|Syntax Error|Query (1, 630) Zu wenige Argumente wurden an die EOMONTH-Funktion übergeben. Die Funktion erfordert mindestens 2 Argumente.||
Prompt_10_CT_Medium_DE_GPT35Turbo_Temp_0.2_Response_5|10|CT|Medium|DE|GPT35Turbo|"0.2"|5|||||Failed|Syntax Error|Query (1, 589) Zu wenige Argumente wurden an die EOMONTH-Funktion übergeben. Die Funktion erfordert mindestens 2 Argumente.||
Prompt_10_CT_Medium_DE_GPT35Turbo_Temp_0.2_Response_6|10|CT|Medium|DE|GPT35Turbo|"0.2"|6|||||Failed|Syntax Error|Query (1, 712) Zu wenige Argumente wurden an die EOMONTH-Funktion übergeben. Die Funktion erfordert mindestens 2 Argumente.||
Prompt_10_CT_Medium_DE_GPT35Turbo_Temp_0.2_Response_7|10|CT|Medium|DE|GPT35Turbo|"0.2"|7|||||Failed|Syntax Error|Query (1, 589) Zu wenige Argumente wurden an die EOMONTH-Funktion übergeben. Die Funktion erfordert mindestens 2 Argumente.||
Prompt_10_CT_Medium_DE_GPT35Turbo_Temp_0.2_Response_8|10|CT|Medium|DE|GPT35Turbo|"0.2"|8|||||Failed|Syntax Error|Query (1, 628) Zu wenige Argumente wurden an die EOMONTH-Funktion übergeben. Die Funktion erfordert mindestens 2 Argumente.||
Prompt_10_CT_Medium_DE_GPT35Turbo_Temp_0.2_Response_9|10|CT|Medium|DE|GPT35Turbo|"0.2"|9|||||Failed|Syntax Error|Query (1, 607) Zu wenige Argumente wurden an die EOMONTH-Funktion übergeben. Die Funktion erfordert mindestens 2 Argumente.||
Prompt_10_CT_Medium_DE_GPT35Turbo_Temp_0.4_Response_1|10|CT|Medium|DE|GPT35Turbo|"0.4"|1|||||Failed|Syntax Error|Query (1, 634) Zu wenige Argumente wurden an die EOMONTH-Funktion übergeben. Die Funktion erfordert mindestens 2 Argumente.||
Prompt_10_CT_Medium_DE_GPT35Turbo_Temp_0.4_Response_10|10|CT|Medium|DE|GPT35Turbo|"0.4"|10|||||Failed|Syntax Error|Query (1, 632) Zu wenige Argumente wurden an die EOMONTH-Funktion übergeben. Die Funktion erfordert mindestens 2 Argumente.||
Prompt_10_CT_Medium_DE_GPT35Turbo_Temp_0.4_Response_2|10|CT|Medium|DE|GPT35Turbo|"0.4"|2|||||Failed|Syntax Error|Query (1, 725) Die Spalte "Date" wurde nicht gefunden oder darf in diesem Ausdruck möglicherweise nicht verwendet werden.||
