GPT_Answer_ID|Prompt_ID_Nummer|Prompt_Category|Prompt_Level|Prompt_Language|Prompt_GPT_Model|Prompt_Temperature|Prompt_Run|Actual_Result|Desired_Result|EvaluationStatus_1|EvaluationStatus_2|ErrorMessage|ExceptionMessage|Comment
Prompt_16_CC_Low_EN_GPT35Turbo_Temp_0.2_Response_1|16|CC|Low|EN|GPT35Turbo|"0.2"|1|830|4|Failed|Semantic Error|||
Prompt_16_CC_Low_EN_GPT35Turbo_Temp_0.2_Response_10|16|CC|Low|EN|GPT35Turbo|"0.2"|10|830|4|Failed|Semantic Error|||
Prompt_16_CC_Low_EN_GPT35Turbo_Temp_0.2_Response_2|16|CC|Low|EN|GPT35Turbo|"0.2"|2|830|4|Failed|Semantic Error|||
Prompt_16_CC_Low_EN_GPT35Turbo_Temp_0.2_Response_3|16|CC|Low|EN|GPT35Turbo|"0.2"|3|830|4|Failed|Semantic Error|||
Prompt_16_CC_Low_EN_GPT35Turbo_Temp_0.2_Response_4|16|CC|Low|EN|GPT35Turbo|"0.2"|4|830|4|Failed|Semantic Error|||
Prompt_16_CC_Low_EN_GPT35Turbo_Temp_0.2_Response_5|16|CC|Low|EN|GPT35Turbo|"0.2"|5|830|4|Failed|Semantic Error|||
Prompt_16_CC_Low_EN_GPT35Turbo_Temp_0.2_Response_6|16|CC|Low|EN|GPT35Turbo|"0.2"|6|830|4|Failed|Semantic Error|||
Prompt_16_CC_Low_EN_GPT35Turbo_Temp_0.2_Response_7|16|CC|Low|EN|GPT35Turbo|"0.2"|7|830|4|Failed|Semantic Error|||
Prompt_16_CC_Low_EN_GPT35Turbo_Temp_0.2_Response_8|16|CC|Low|EN|GPT35Turbo|"0.2"|8|830|4|Failed|Semantic Error|||
Prompt_16_CC_Low_EN_GPT35Turbo_Temp_0.2_Response_9|16|CC|Low|EN|GPT35Turbo|"0.2"|9|830|4|Failed|Semantic Error|||
Prompt_16_CC_Low_EN_GPT35Turbo_Temp_0.4_Response_1|16|CC|Low|EN|GPT35Turbo|"0.4"|1|830|4|Failed|Semantic Error|||
Prompt_16_CC_Low_EN_GPT35Turbo_Temp_0.4_Response_10|16|CC|Low|EN|GPT35Turbo|"0.4"|10|830|4|Failed|Semantic Error|||
