GPT_Answer_ID|Prompt_ID_Nummer|Prompt_Category|Prompt_Level|Prompt_Language|Prompt_GPT_Model|Prompt_Temperature|Prompt_Run|Actual_Result_RowCount|Desired_Result_RowCount|Actual_Result_ColumnCount|Desired_Result_ColumnCount|EvaluationStatus_1|EvaluationStatus_2|ErrorMessage|ExceptionMessage|Comment
Prompt_10_CT_Medium_EN_GPT4Turbo_Temp_0.2_Response_1|10|CT|Medium|EN|GPT4Turbo|"0.2"|1|672|672|13|12|Failed|Semantic Error|||
Prompt_10_CT_Medium_EN_GPT4Turbo_Temp_0.2_Response_10|10|CT|Medium|EN|GPT4Turbo|"0.2"|10|672|672|13|12|Failed|Semantic Error|||
Prompt_10_CT_Medium_EN_GPT4Turbo_Temp_0.2_Response_2|10|CT|Medium|EN|GPT4Turbo|"0.2"|2|672|672|13|12|Failed|Semantic Error|||
Prompt_10_CT_Medium_EN_GPT4Turbo_Temp_0.2_Response_3|10|CT|Medium|EN|GPT4Turbo|"0.2"|3|21915|672|13|12|Failed|Semantic Error|||
Prompt_10_CT_Medium_EN_GPT4Turbo_Temp_0.2_Response_4|10|CT|Medium|EN|GPT4Turbo|"0.2"|4|672|672|13|12|Failed|Semantic Error|||
Prompt_10_CT_Medium_EN_GPT4Turbo_Temp_0.2_Response_5|10|CT|Medium|EN|GPT4Turbo|"0.2"|5|672|672|13|12|Failed|Semantic Error|||
Prompt_10_CT_Medium_EN_GPT4Turbo_Temp_0.2_Response_6|10|CT|Medium|EN|GPT4Turbo|"0.2"|6|21915|672|13|12|Failed|Semantic Error|||
Prompt_10_CT_Medium_EN_GPT4Turbo_Temp_0.2_Response_7|10|CT|Medium|EN|GPT4Turbo|"0.2"|7|21915|672|13|12|Failed|Semantic Error|||
Prompt_10_CT_Medium_EN_GPT4Turbo_Temp_0.2_Response_8|10|CT|Medium|EN|GPT4Turbo|"0.2"|8|672|672|13|12|Failed|Semantic Error|||
Prompt_10_CT_Medium_EN_GPT4Turbo_Temp_0.2_Response_9|10|CT|Medium|EN|GPT4Turbo|"0.2"|9|672|672|13|12|Failed|Semantic Error|||
Prompt_11_CT_Hard_EN_GPT4Turbo_Temp_0.2_Response_1|11|CT|Hard|EN|GPT4Turbo|"0.2"|1|68|68|3|3|Successful|Successful|||
Prompt_11_CT_Hard_EN_GPT4Turbo_Temp_0.2_Response_10|11|CT|Hard|EN|GPT4Turbo|"0.2"|10|68|68|3|3|Successful|Successful|||
Prompt_11_CT_Hard_EN_GPT4Turbo_Temp_0.2_Response_2|11|CT|Hard|EN|GPT4Turbo|"0.2"|2|68|68|3|3|Successful|Successful|||
Prompt_11_CT_Hard_EN_GPT4Turbo_Temp_0.2_Response_3|11|CT|Hard|EN|GPT4Turbo|"0.2"|3|68|68|3|3|Successful|Successful|||
Prompt_11_CT_Hard_EN_GPT4Turbo_Temp_0.2_Response_4|11|CT|Hard|EN|GPT4Turbo|"0.2"|4|68|68|3|3|Successful|Successful|||
Prompt_11_CT_Hard_EN_GPT4Turbo_Temp_0.2_Response_5|11|CT|Hard|EN|GPT4Turbo|"0.2"|5|68|68|3|3|Successful|Successful|||
Prompt_11_CT_Hard_EN_GPT4Turbo_Temp_0.2_Response_6|11|CT|Hard|EN|GPT4Turbo|"0.2"|6|68|68|3|3|Successful|Successful|||
Prompt_11_CT_Hard_EN_GPT4Turbo_Temp_0.2_Response_7|11|CT|Hard|EN|GPT4Turbo|"0.2"|7|68|68|3|3|Successful|Successful|||
Prompt_11_CT_Hard_EN_GPT4Turbo_Temp_0.2_Response_8|11|CT|Hard|EN|GPT4Turbo|"0.2"|8|68|68|3|3|Successful|Successful|||
Prompt_11_CT_Hard_EN_GPT4Turbo_Temp_0.2_Response_9|11|CT|Hard|EN|GPT4Turbo|"0.2"|9|68|68|3|3|Successful|Successful|||
Prompt_12_CT_Hard_EN_GPT4Turbo_Temp_0.2_Response_1|12|CT|Hard|EN|GPT4Turbo|"0.2"|1|68|68|3|3|Successful|Successful|||
